
TITULO|ESPOSA JOVEN –SEGUNDA TEMPORADA
EPISODIO|07
DURACION (MINUTOS)|45
TC|PERSONAJES|DIALOGO
01:48|KADIM|Y tú, / ¿Qué buscas aquí?
01:51|RASIT|(REAC) / A usted Kadim Kirman, / Yo soy Rasit así que llámeme por mi nombre. / Soy una persona que merece respeto igual que usted. ¿Entiende?
2:00|KADIM|Tú no mereces respeto
2:01|RASIT|(REAC) / Los Kirman son muy importantes, / ¿verdad? / Se creen los señores de su gran tribu. / Sin embargo…/ El próximo gran cacique  debería ser / su maravilloso hijo / pero  vamos a ver si podrá ocupar ese lugar. / ¡Vamos! / Yo no estaría tan seguro de eso hombre./  No lo veo posible.
02:19|KADIM|¿Sabes  quién soy yo? / Yo soy Kadim Kirman. / ¿Acaso quieres que te golpee?
02:26|RASIT|Señor Kadim! / ¿Quiere usted enterarse de las últimas novedades? / Señor, / Deberíamos hablar sobre su hijo, el futuro jefe de su tribu. ¿No cree? 
02:37|KADIM|¿De qué estás hablando? Qué sucede con Devran?
02:44|AZAD|¿Dónde estás Ali ?... / ¿Dónde te has metido?
02:54|ALI|(REAC) Esto está bien asegurado, / cómo podré salir de aquí...
03:25|ALI|Intentaré por aquí
03:27|RASIT|Hablemos de tu hijo / el que va ser el jefe de la familia / ¿Quieres?
03:31|KADIM|Dímelo, / ¿qué sucede? / Mejor lárgate, él ha tenido un accidente.
03:35|RASIT|(REAC) No  quieres saberlo. / Prefieres seguir ignorando lo que sucede. /  As que no quieres que te diga / la notica que tengo. 
03:43|KADIM|¿Qué noticia crees que sabes tú? / ¿De qué estás hablando?... ¡Dímelo!
4:00|RASIT|Ya lo sabrá en su momento / No se preocupe. / Con permiso.
04:23|KADIM|¿Qué sucede?
04:24|FATMA|No le haga caso señor Kadim, / Como ya no trabaja para su hijo. Él obra por su cuenta ahora. / Por eso le habla así.
04:39|MELEK|Mira que hermosas cosas hay aquí...
04:47|MELEK|Si pudiera te devolvería todos estos años que estuvimos separadas.
04:52|MELEK|Pero no puedo, es imposible… / pero lo que te puedo prometer es que haré todo lo posible / para  recuperar todo ese tempo perdido. / Te quiero tanto, / cariño, / créeme por favor./ (REAC)
05:14|MELEK|Mira, / ¿Quieres probarte uno? /  Tomemos éste y veamos cómo te queda. 
05:26|BEHIYE|Devran? ¿Qué haces hijo? Todavía no encuentras a  Zehra?
05:30|DEVRAN|Estoy en eso mamá.
05:31|BEHIYE|Apúrate / Hijo escucha… / (REAC) / Azad  vino aquí, en busca de su hermano,/ La señora Nujin no le ha permitido entrar a la mansión, /  Lo dejo en la puerta. / Debes tener cuidado.
05:46|DEVRAN|No te preocupes mamá... En poco tempo la encontraré.
06:12|AZAD|Ali... 
06:42|MELEK|Vamos pruébatelo, no seas terca.
06:45|ZEHRA|No, no quiero…
06:47|MELEK|(REAC) De acuerdo , / Entiendo, / Igual todo lo que te pongas te queda ven
06:54|GOREVIL|Qué bonita hija tiene usted.
06:56|MELEK|Si, es mi hija.…
06:58|GOREVIL|Estoy  para ayudarles.
07:13|NIÑA1|Me veo como una princesa
07:17|NIÑA1|Un día seré una novia…
07:20|BERFIN|Zehra… Ya falta poco…
07:23|ZEHRA|No quiero nada
07:25|BERFIN|Es algo que va suceder. / Deja de moverte...
07:29|ZEHRA|Yo (REAC) no quiero hacerlo, no quiero hacerlo....
07:33|NIÑA1|Soy una novia, soy una novia.…
07:35|ZEHRA|¡No quiero!/ ¡No quiero, No quiero!!
08:21|ZUMRUT|¿Quién llamó?
08:22|BEHIYE|No sé,.., / Número equivocado, / es mejor que descanses ahora...
08:43|MELEK|Disculpe, ¿ha visto a mi hija?
08:46|GOREVIL|No, no la he visto...
09:03|MELEK|Zehra…
09:14|MELEK|¡Zehra! ¿Dónde estás? ¿Zehraaaa?!
09:19|MELEK|Mi hija estaba aquí antes, / ¿vieron adonde se fue?
09:21|HOMBRE1|No la he visto...
09:26|MELEK|¿Ha visto a mi hija?, tiene el pelo largo, 
09:31|MELEK|¿Ha visto a mi hija?,
10:01|MELEK|¿Ha visto a mi hija?, ¿Puede ayudarme a buscarla por favor?
10:07|MELEK|No puedo encontrar a mi hija
10:41|ZEHRA|(REAC) (JADEA)
11:21|AZAD|¡Tío! ¿Dónde está mi hermano?
11:25|KADIM|Yo…/ no se Azad, / ¿No deberías estar en camino hacia Estambul?
11:32|AZAD|Ya sabes por qué estoy aquí... / ¿Dónde está mi hermano?
11:36|KADIM|¿Me preguntas por alguien que está mal de la cabeza? / Yo no puedo saberlo / ¿Cómo crees que pueda estar aquí? / Fíjate / aquí no está /¿Así dices buscar a tu hermano?
11:45|AZAD|Yo nunca renunciaré a mi hermano, / ¿dónde está Ali?
11:51|KADIM|Vienes / hasta aquí a mi tienda / para pedirme explicaciones y preguntas… / Has perdido / todos los derechos que crees tener / por irte con esa mujer.
12:04|AZAD|Yo no quiero saber nada de nade, / sólo de Ali. / ¿Dónde está? / Usted debe saber… / Tiene que aceptar que debe divorciarse.
12:13|KADIM|No te interesa tu hermano, / Sólo quieres el bienestar de esa mujer. / Ahora / lárgate de aquí / y no vuelvas nunca.
12:37|MELEK|¡Zehra! / Lo siento.
12:55|ZEHRA|(REAC)
13:00|FUNCIONARIO|¿A quién busca?
13:03|ZEHRA|(REAC)
13:05|MUJER1|Ayúdeme  por favor, se robaron mi bolso.
13:12|ZEHRA|(REAC)
13:14|DEVRAN|No / ¿Qué haces aquí?
13:16|ZEHRA|(REAC) Ya / ya, / ¡suélteme ahora!
13:22|DEVRAN|¡Zehra! / Te voy a  llevar con tu madre / Vamos.
13:24|ZEHRA|Ya, por favor, suélteme, déjeme ir, ¡Ayuda! Alguien ayúdeme.
13:29|DEVRAN|Te voy a llevar con tu madre. / (REAC)
13:34|DEVRAN|Niña, / Ven aquí.
13:59|ADAM|Espero no esté perdiendo el tiempo.
14:01|ALI|No… / de todos modos no tengo hambre
14:08|ADAM|Muy bien.
14:27|ALI|(SOPLA) / (REAC) Ya se abrió uno.
14:38|ZEHRA|(REAC)
15:05|DEVRAN|¡Zehra!
15:08|DEVRAN|Donde  te escondas,  te encontraré...
15:17|DEVRAN|Es en vano que te ocultes Zehra, / te voy a  encontrar.
15:54|ZEHRA|(REAC) ¡Suélteme, suélteme!
15:56|MELEK|¡Zehra! cálmate…, ¿quién pensabas que era?
15:59|ZEHRA|Esta aquí.
16:01|MELEK|¿Quién?
16:02|ZEHRA|(REAC) Devran está aquí…
16:07|ZEHRA|(REAC)
16:09|MELEK|(REAC) / De acuerdo…/ No tengas miedo, / Bien… / no tengas miedo.
16:12|ZEHRA|(REAC)
16:35|AZAD|¿Melek?
16:37|MELEK|Azad, / Devran está aquí... / Zehra lo vio hoy…
16:42|AZAD|Esta ven, tengan mucho cuidado, / Mİ vuelo sale mañana.
16:47|MELEK|Tienes que venir lo más rápido posible,  en el primer avión.
16:50|AZAD|No he encontrado a Ali aun
16:52|MELEK|¿Cómo? / Pero el juicio es mañana, / Tenemos que ir al tribunal sea como sea.
16:58|AZAD|No te preocupes Melek, /  mañana como sea voy a llevar a Ali.
17:04|MELEK|De acuerdo.
17:10|AZAD|¿Dónde estarás Ali?
17:35|FIGEN|Usted sabe cómo es el asunto, / Me gustaría poder explicarle como es esa situación, / muchos amigos me han confirmado que los niños vienen al mundo sin haberlos planeado.
17:59|ALI|Yo soy Ali Kirman, / Ese es mi nombre / no me quedare aquí,.. / Voy a Ir a Estambul, / y me divorciaré de Zehra.
18:40|FIGEN |En primer lugar, ya no es una niña.,  / es una mujer joven
18:39|ZEHRA|(REACS)
18:46|AZAD|Ali!
19:02|AZAD|(REAC)
19:28|MELEK|Te prometo… / que todo esto terminará.
19:28|ALI|(REAC)
22.00|ALI|(TOSE)/ (REACS)
22:06|ALI|Buenas noches señor, / puedo usar su teléfono, por favor.
22:26|AZAD|Aló?
22:28|ALI|Hermano soy yo…/ (REAC)  logré escapar, / ya estoy libre.
22:46|BEHIYE|Señora Nujin, / vamos debe relajarse un poco, / Azad nunca va poder encontrar a Ali, / no piense más en eso, / no se preocupe mas, vamos.
22:58|NUJIN|Si me acostare
22:59|BEHIYE|hasta mañana
23:00|NUJIN|(REAC)
23:06|BEHIYE|Qué hiciste? / ¿Dejaste el dinero donde  dijo la mujer?
23:09|KADIM|Ella no se quedará tranquila…/ Tengo que hacer algo / para cerrarle / por completo la boca.
23:18|BEHIYE|Lo hará Devran, después  que cumpla con la misión de traer de vuelta a Zehra, / Él se va encargar de esa mujer.
23:43|AZAD|Ali...
23:44|ALI|Hermano.
23:45|AZAD|¿Estás bien?
23:47|ALI|Estoy bien. / Hermano, estoy tan contento que estés aquí (REAC)...
23:57|ALI|¿Cuándo vamos a Estambul?
